game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_16-NWPvSTMU,NWP,05 - Brandon Gillis,27,3,6,1,2,2,2,0,0,0,3,2,0,5,1,9
2025_10_16-NWPvSTMU,NWP,06 - Chris Kinyange,31,1,10,0,5,0,0,3,5,8,1,3,0,1,2,2
2025_10_16-NWPvSTMU,NWP,07 - Mirza Todorovac,33,5,16,5,12,0,0,0,9,9,4,3,0,6,1,15
2025_10_16-NWPvSTMU,NWP,11 - Romarie Johnson,11,0,2,0,0,0,0,1,2,3,0,0,1,2,2,0
2025_10_16-NWPvSTMU,NWP,20 - Kaden Gravengard,34,4,11,0,1,6,8,2,10,12,0,1,1,0,2,14
2025_10_16-NWPvSTMU,NWP,03 - Samuel Rosse,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2025_10_16-NWPvSTMU,NWP,04 - John Sasi,13,2,5,1,4,2,3,0,1,1,3,0,0,3,1,7
2025_10_16-NWPvSTMU,NWP,09 - Darnell Stewart,22,5,8,3,4,1,2,1,2,3,0,0,0,2,4,14
2025_10_16-NWPvSTMU,NWP,13 - Caleb Tengera,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025_10_16-NWPvSTMU,NWP,15 - Trevon-Davis Arogie,19,2,3,0,0,2,2,3,3,6,0,1,1,4,0,6
2025_10_16-NWPvSTMU,STMU,02 - Pelumi Ajayi,31,3,18,0,5,2,3,2,5,7,2,2,1,2,4,8
2025_10_16-NWPvSTMU,STMU,05 - Angelo Santiago,3,0,1,0,0,0,0,0,1,1,1,2,0,0,1,0
2025_10_16-NWPvSTMU,STMU,10 - Ayudo Ayudo,32,3,10,0,1,3,5,3,5,8,1,0,1,2,2,9
2025_10_16-NWPvSTMU,STMU,12 - Riley Follensbee,28,1,5,0,0,0,0,1,2,3,2,1,0,2,2,2
2025_10_16-NWPvSTMU,STMU,13 - Ben Gilbert,22,2,6,1,3,0,0,0,3,3,1,0,0,1,2,5
2025_10_16-NWPvSTMU,STMU,04 - Lucas Barlow,31,7,16,4,10,0,0,2,5,7,2,4,0,0,1,18
2025_10_16-NWPvSTMU,STMU,06 - CJ Peters,20,1,4,0,0,0,0,1,3,4,0,1,1,1,4,2
2025_10_16-NWPvSTMU,STMU,07 - Cache Perrett,10,2,6,0,3,1,3,0,0,0,0,2,1,2,2,5
2025_10_16-NWPvSTMU,STMU,09 - Kamari Breary,11,3,4,2,3,0,0,0,2,2,0,1,0,2,0,8
2025_10_16-NWPvSTMU,STMU,11 - Brenddan Nightingale,11,0,0,0,0,1,2,2,1,3,1,0,1,2,2,1
