game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_18_BCvKC,BC,1 - Gabe Vig,27,5,7,2,4,2,2,0,3,3,5,1,0,1,5,14
2025_10_18_BCvKC,BC,4 - Chase Seaborn,4,0,2,0,0,0,0,1,1,2,1,0,0,0,0,0
2025_10_18_BCvKC,BC,5 - Corbin Gengenbach,31,7,9,1,2,2,4,1,2,3,7,3,0,4,2,17
2025_10_18_BCvKC,BC,10 - Carter Waind,32,5,12,2,3,0,0,3,6,9,5,0,0,4,3,12
2025_10_18_BCvKC,BC,14 - Owen Shepherd-Hills,26,3,8,1,5,2,2,0,5,5,3,0,1,2,3,9
2025_10_18_BCvKC,BC,2 - Markus Glasspell,25,3,8,1,6,3,3,0,2,2,4,1,0,2,2,10
2025_10_18_BCvKC,BC,3 - Cole Koop,28,3,7,1,1,1,4,0,1,1,3,2,0,2,0,8
2025_10_18_BCvKC,BC,6 - Joshua Fox,20,5,9,0,0,1,1,2,3,5,0,0,1,1,2,11
2025_10_18_BCvKC,BC,7 - Daniel Haak,3,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1
2025_10_18_BCvKC,BC,11 - Cooper Benjamin,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_BCvKC,BC,13 - Marek Guynup,3,2,2,1,1,0,0,0,0,0,0,1,0,0,0,5
2025_10_18_BCvKC,KC,5 - Deandre Rowe,23,6,13,3,6,2,2,0,3,3,9,4,0,4,2,17
2025_10_18_BCvKC,KC,10 - Keenan Miller,30,7,15,2,8,4,4,1,4,5,2,0,1,3,2,20
2025_10_18_BCvKC,KC,12 - DJ Haynes,33,10,17,2,5,4,4,2,5,7,8,0,0,1,2,26
2025_10_18_BCvKC,KC,13 - Tafari Carefoote-Jones,25,3,6,0,2,1,2,0,2,2,5,3,0,2,3,7
2025_10_18_BCvKC,KC,21 - Wan Deng,31,2,2,0,0,2,4,4,6,10,2,0,2,0,0,6
2025_10_18_BCvKC,KC,4 - Jaggar Crossland,8,2,3,1,1,0,0,0,0,0,3,1,0,0,0,5
2025_10_18_BCvKC,KC,6 - Sammuel Nkassa,10,2,4,0,1,1,2,0,2,2,0,1,0,1,0,5
2025_10_18_BCvKC,KC,8 - Trey McKenzie,3,0,0,0,0,0,0,1,3,4,0,0,0,2,0,0
2025_10_18_BCvKC,KC,9 - Joyce Dumbu,8,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4
2025_10_18_BCvKC,KC,11 - Efosa Omorogbe,24,5,8,4,7,0,0,3,2,5,7,2,0,1,2,14
2025_10_18_BCvKC,KC,14 - Jeremy Payne,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
