game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_18_MHCvLAKE,MHC,5 - Kieran Isnor,21,7,23,0,6,0,0,3,4,7,3,3,1,3,1,14
2025_10_18_MHCvLAKE,MHC,6 - Trey Watson,21,2,2,0,0,2,3,0,2,2,2,0,0,2,1,6
2025_10_18_MHCvLAKE,MHC,8 - Jordan Biggar,27,10,14,1,1,3,5,2,3,5,3,1,0,2,3,24
2025_10_18_MHCvLAKE,MHC,15 - Oyama Crouch,19,3,5,1,3,0,0,0,2,2,0,0,2,0,0,7
2025_10_18_MHCvLAKE,MHC,23 - Wol Wol,21,1,8,0,1,4,6,4,7,11,1,0,0,2,3,6
2025_10_18_MHCvLAKE,MHC,3 - Sabino Dumo,15,0,0,0,0,2,2,0,2,2,0,0,0,0,0,2
2025_10_18_MHCvLAKE,MHC,4 - Miguel Torres,18,1,3,0,2,0,0,0,3,3,2,0,0,3,3,2
2025_10_18_MHCvLAKE,MHC,7 - Colby Anderson,14,0,3,0,1,2,4,1,2,3,2,1,0,1,1,2
2025_10_18_MHCvLAKE,MHC,11 - Lincoln Kosinski,15,1,3,0,1,0,0,0,1,1,0,1,0,2,1,2
2025_10_18_MHCvLAKE,MHC,12 - Kyle Bertram,5,1,1,0,0,0,1,1,0,1,0,0,0,1,1,2
2025_10_18_MHCvLAKE,MHC,14 - David Hamilton,15,2,7,2,3,0,0,1,3,4,1,0,2,3,2,6
2025_10_18_MHCvLAKE,MHC,21 - Joshua Dirks,5,1,1,1,1,0,0,0,0,0,1,0,0,1,0,3
2025_10_18_MHCvLAKE,LAKE,1 - Seth Johnson,38,7,17,2,6,1,2,6,6,12,4,4,0,0,1,17
2025_10_18_MHCvLAKE,LAKE,3 - Matthew Bryant,36,0,8,0,2,4,6,5,6,11,4,1,0,0,5,4
2025_10_18_MHCvLAKE,LAKE,7 - Taleh Wade,31,6,15,4,10,2,2,1,4,5,2,2,0,0,4,18
2025_10_18_MHCvLAKE,LAKE,9 - Bahaeddin Salma,35,8,13,2,4,1,4,3,3,6,5,5,1,0,1,19
2025_10_18_MHCvLAKE,LAKE,15 - Jordan Horobetz-Simpson,30,9,20,4,7,2,4,1,7,8,2,2,0,0,1,24
2025_10_18_MHCvLAKE,LAKE,2 - David Dimaano,36,2,6,1,3,0,0,1,4,5,3,2,0,0,3,5
2025_10_18_MHCvLAKE,LAKE,6 - Parker Armstrong,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_MHCvLAKE,LAKE,8 - Isreal Ogbebor,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2025_10_18_MHCvLAKE,LAKE,12 - Tyler Gartner,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2025_10_18_MHCvLAKE,LAKE,14 - Tyson Christensen,7,3,3,1,1,0,0,0,0,0,0,1,0,0,0,7
2025_10_18_MHCvLAKE,LAKE,21 - Danathan Morris,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
