game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_18_NAITvOC,NAIT,04 - Serhat Chen,25,5,6,0,0,0,0,0,0,0,0,0,0,0,3,10
2025_10_18_NAITvOC,NAIT,06 - Peter Kugba-Nyande,24,10,12,0,0,3,3,0,1,1,0,0,0,0,3,23
2025_10_18_NAITvOC,NAIT,08 - Aaron Snaterse,22,2,7,1,4,0,0,1,5,6,1,1,0,0,3,5
2025_10_18_NAITvOC,NAIT,11 - Kohl Wedman,28,4,11,1,2,3,3,0,0,0,0,1,0,0,4,12
2025_10_18_NAITvOC,NAIT,12 - Patrick Fisher,24,3,6,0,0,4,4,2,7,9,1,0,0,0,2,10
2025_10_18_NAITvOC,NAIT,01 - Nathan Saldo,13,4,8,1,2,2,3,1,2,3,0,1,0,0,2,11
2025_10_18_NAITvOC,NAIT,03 - Kevin Hunter,12,3,5,0,2,0,0,0,2,2,0,0,0,0,2,6
2025_10_18_NAITvOC,NAIT,05 - Dax Kessler,7,2,2,1,1,0,0,0,0,0,0,0,0,0,0,5
2025_10_18_NAITvOC,NAIT,07 - Donovan Caldwell,16,4,7,0,0,2,2,2,7,9,0,0,0,0,0,10
2025_10_18_NAITvOC,NAIT,10 - Ben Amevor,4,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
2025_10_18_NAITvOC,NAIT,13 - Keshon McLeod,22,5,9,2,5,0,0,0,6,6,2,1,0,0,1,12
2025_10_18_NAITvOC,OC,4 - Rylan Warren,20,2,8,1,5,0,0,0,2,2,0,1,0,0,4,5
2025_10_18_NAITvOC,OC,9 - Will Jacques,19,5,7,2,4,0,0,0,1,1,0,1,0,1,0,12
2025_10_18_NAITvOC,OC,10 - Jason Moreira,23,0,0,0,0,1,2,1,1,2,0,0,0,0,4,1
2025_10_18_NAITvOC,OC,13 - Corbin MacMillan,26,3,7,1,4,0,0,1,1,2,0,0,0,0,2,7
2025_10_18_NAITvOC,OC,21 - Nicholas McKoy,21,6,13,1,3,3,3,0,3,3,1,1,0,0,4,16
2025_10_18_NAITvOC,OC,3 - Ethan Rossworm,6,0,1,0,1,1,1,0,0,0,0,0,0,0,2,1
2025_10_18_NAITvOC,OC,7 - Akot Kuannace,14,0,7,0,5,0,0,0,4,4,0,0,1,0,0,0
2025_10_18_NAITvOC,OC,8 - Ife Popoola,16,1,2,1,1,0,0,0,2,2,0,1,0,0,1,3
2025_10_18_NAITvOC,OC,14 - Alex DeRanger,15,3,4,0,0,0,0,1,1,2,0,0,0,0,3,6
2025_10_18_NAITvOC,OC,22 - Tarman Sandhu,17,4,9,2,6,1,1,0,1,1,0,0,0,0,1,11
2025_10_18_NAITvOC,OC,23 - Mohamad Meddeb,19,4,10,0,2,2,3,0,3,3,1,2,0,0,0,10
