game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_18_UAAvRDP,UAA,03 - Tanton Mueller,29,4,17,1,7,2,2,4,5,9,3,1,0,3,2,11
2025_10_18_UAAvRDP,UAA,04 - Sam Smilski,25,3,7,2,6,1,1,0,1,1,3,2,0,1,2,9
2025_10_18_UAAvRDP,UAA,05 - Brett Marlow,27,8,15,0,2,4,4,6,3,9,3,1,0,6,3,20
2025_10_18_UAAvRDP,UAA,21 - Dru Swain,9,1,3,0,0,0,0,0,1,1,0,0,1,0,0,2
2025_10_18_UAAvRDP,UAA,23 - Jonathan Gomes,27,5,16,2,10,4,4,1,4,5,1,0,0,0,0,16
2025_10_18_UAAvRDP,UAA,02 - Jayden Rushema,11,3,5,1,2,0,0,3,0,3,0,2,0,3,2,7
2025_10_18_UAAvRDP,UAA,06 - Luca Reynolds-Raby,6,4,6,1,3,0,0,0,1,1,0,1,0,2,0,9
2025_10_18_UAAvRDP,UAA,08 - Yvane M'vila Kumbukilutete,2,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1
2025_10_18_UAAvRDP,UAA,09 - Cooper Nelson,21,4,6,0,0,1,3,3,6,9,4,1,1,3,3,9
2025_10_18_UAAvRDP,UAA,10 - Erik Martone,13,0,2,0,2,0,0,0,4,4,3,1,0,3,2,0
2025_10_18_UAAvRDP,UAA,11 - Mateo Gallant,15,0,2,0,2,0,0,1,2,3,0,0,0,2,0,0
2025_10_18_UAAvRDP,UAA,22 - Archer Jenkins,13,1,2,0,1,0,0,1,1,2,0,0,0,0,0,2
2025_10_18_UAAvRDP,RDP,06 - Noah Simon,30,5,11,1,3,0,0,0,3,3,4,0,0,4,1,11
2025_10_18_UAAvRDP,RDP,07 - Lado Lodo,24,4,9,2,2,0,2,3,3,6,0,0,0,2,1,10
2025_10_18_UAAvRDP,RDP,11 - Sharaya Aamir,15,1,5,1,2,1,3,0,1,1,2,1,0,3,3,4
2025_10_18_UAAvRDP,RDP,14 - Corban Andres,17,1,4,1,4,1,1,0,0,0,1,0,0,1,0,4
2025_10_18_UAAvRDP,RDP,22 - William Tcherkachine,39,4,5,0,0,3,4,0,5,5,4,4,0,3,3,11
2025_10_18_UAAvRDP,RDP,05 - Garett Cates,13,1,3,1,2,1,1,0,2,2,1,1,0,1,4,4
2025_10_18_UAAvRDP,RDP,09 - Blaine Cabay,8,1,3,0,1,0,0,1,1,2,0,1,0,1,1,2
2025_10_18_UAAvRDP,RDP,10 - Felix Webb,18,4,16,1,6,1,2,1,3,4,0,1,0,3,0,10
2025_10_18_UAAvRDP,RDP,23 - Marvellous Adepoju,18,3,11,2,6,0,0,1,2,3,1,0,0,2,3,8
2025_10_18_UAAvRDP,RDP,24 - Donovan Snider,16,0,1,0,0,2,2,1,3,4,0,1,0,0,0,2
