game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_24_LPKvSTMU,LPK,3 - Coleson Lake,40,5,13,2,6,0,0,0,0,0,0,0,1,2,1,12
2025_10_24_LPKvSTMU,LPK,7 - Levi Balderson,31,5,15,2,7,2,2,2,7,9,2,5,0,1,3,14
2025_10_24_LPKvSTMU,LPK,8 - Marley Kenion,25,3,11,1,5,1,2,4,4,8,2,0,0,3,4,8
2025_10_24_LPKvSTMU,LPK,10 - Nathaniel Hosannah,32,3,12,1,1,5,7,0,8,8,2,3,1,1,3,12
2025_10_24_LPKvSTMU,LPK,14 - Jackson Wright,23,3,5,0,1,1,2,3,3,6,1,3,0,2,4,7
2025_10_24_LPKvSTMU,LPK,6 - West James,4,1,2,1,2,0,0,0,0,0,0,0,0,0,1,3
2025_10_24_LPKvSTMU,LPK,11 - Kade Lund,13,2,4,0,0,1,2,1,2,3,0,0,0,1,0,5
2025_10_24_LPKvSTMU,LPK,12 - Rhett Lewis,14,1,4,0,1,0,0,1,1,2,1,1,0,1,0,2
2025_10_24_LPKvSTMU,LPK,23 - Randall Mongard,19,3,9,0,3,0,0,1,2,3,0,1,0,0,2,6
2025_10_24_LPKvSTMU,STMU,04 - Lucas Barlow,30,2,12,1,7,5,6,1,2,3,1,1,0,4,1,10
2025_10_24_LPKvSTMU,STMU,09 - Kamari Breary,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_LPKvSTMU,STMU,11 - Brenddan Nightingale,9,0,1,0,0,0,0,0,2,2,0,0,1,0,3,0
2025_10_24_LPKvSTMU,STMU,12 - Riley Follensbee,26,4,5,0,0,0,0,0,4,4,1,0,0,2,1,8
2025_10_24_LPKvSTMU,STMU,13 - Ben Gilbert,20,0,3,0,2,2,2,0,3,3,0,1,0,2,1,2
2025_10_24_LPKvSTMU,STMU,02 - Pelumi Ajayi,25,6,11,1,3,5,8,0,9,9,2,3,2,5,1,18
2025_10_24_LPKvSTMU,STMU,03 - Pyken Easthope,7,1,2,0,1,0,0,0,0,0,0,0,0,3,0,2
2025_10_24_LPKvSTMU,STMU,06 - CJ Peters,27,2,7,0,0,0,0,2,4,6,2,0,1,2,2,4
2025_10_24_LPKvSTMU,STMU,07 - Cache Perrett,17,1,4,0,2,3,5,1,4,5,0,0,3,3,3,5
2025_10_24_LPKvSTMU,STMU,10 - Ayudo Ayudo,32,5,12,2,3,1,2,5,5,10,0,1,0,1,3,13
