game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_24_NAITvTKU,NAIT,01 - Serhat Chen,26,6,11,0,1,1,1,0,4,4,2,4,0,5,4,13
2025_10_24_NAITvTKU,NAIT,04 - Peter Kugba-Nyande,30,3,7,0,0,1,2,2,6,8,3,1,3,1,2,7
2025_10_24_NAITvTKU,NAIT,07 - Donovan Caldwell,26,4,9,1,4,1,2,1,2,3,1,1,2,2,1,10
2025_10_24_NAITvTKU,NAIT,11 - Kohl Wedman,30,6,12,2,4,3,6,3,2,5,3,1,0,3,4,17
2025_10_24_NAITvTKU,NAIT,14 - Patrick Fisher,31,1,6,0,2,0,0,3,8,11,4,1,0,2,1,2
2025_10_24_NAITvTKU,NAIT,03 - Nathan Saldo,13,2,6,1,4,1,1,2,2,4,1,1,0,2,3,6
2025_10_24_NAITvTKU,NAIT,05 - Kevin Hunter,10,3,6,1,2,0,2,0,0,0,0,2,0,3,2,7
2025_10_24_NAITvTKU,NAIT,12 - Aaron Snaterse,12,0,2,0,2,1,2,2,4,6,1,1,1,0,2,1
2025_10_24_NAITvTKU,NAIT,13 - Keshon McLeod,22,3,7,2,4,0,0,3,3,6,2,1,0,3,2,8
2025_10_24_NAITvTKU,TKU,1 - Brock Stupar,35,8,16,2,3,1,2,0,3,3,1,2,1,0,3,19
2025_10_24_NAITvTKU,TKU,4 - Gavin Ouellette,24,2,10,1,4,0,0,0,1,1,1,1,0,5,2,5
2025_10_24_NAITvTKU,TKU,7 - Benjamin Thess,28,1,2,0,1,2,6,1,5,6,3,0,2,3,2,4
2025_10_24_NAITvTKU,TKU,9 - Jonathan Barwegen,28,5,17,1,4,1,1,0,5,5,0,3,2,3,1,12
2025_10_24_NAITvTKU,TKU,23 - Cornelius Mingo Jr.,20,2,5,1,1,0,0,2,1,3,1,1,1,2,4,5
2025_10_24_NAITvTKU,TKU,3 - Josh Povhe,18,1,6,0,1,0,0,0,3,3,1,1,1,2,0,2
2025_10_24_NAITvTKU,TKU,5 - Robert Kelly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_24_NAITvTKU,TKU,10 - Maximus Mathers,8,0,0,0,0,1,2,0,3,3,0,0,0,1,1,1
2025_10_24_NAITvTKU,TKU,13 - Jackson Hufnagel,11,0,0,0,0,0,0,2,0,2,0,1,0,1,1,0
2025_10_24_NAITvTKU,TKU,14 - Lucas Franks,13,1,6,0,0,5,6,0,0,0,0,0,0,3,2,7
2025_10_24_NAITvTKU,TKU,33 - Carson Irwin,12,0,1,0,1,0,0,2,1,3,0,0,0,0,1,0
