game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_25_LAKEvCUE,LAKE,1 - Seth Johnson,39,8,15,2,6,2,3,1,2,3,8,0,0,3,1,20
2025_10_25_LAKEvCUE,LAKE,3 - Matthew Bryant,32,5,11,0,0,1,2,1,7,8,2,1,1,2,2,11
2025_10_25_LAKEvCUE,LAKE,7 - Taleh Wade,38,7,16,4,10,5,6,1,13,14,3,0,0,0,2,23
2025_10_25_LAKEvCUE,LAKE,9 - Bahaeddin Salma,27,1,3,1,2,2,2,0,0,0,6,0,0,2,5,5
2025_10_25_LAKEvCUE,LAKE,15 - Jordan Horobetz-Simpson,34,7,16,0,2,1,4,4,2,6,2,1,0,1,4,15
2025_10_25_LAKEvCUE,LAKE,2 - David Dimaano,30,6,11,3,5,0,0,0,1,1,2,1,0,1,3,15
2025_10_25_LAKEvCUE,CUE,2 - Malik Edwards,32,3,5,1,1,0,0,2,4,6,2,0,0,1,2,7
2025_10_25_LAKEvCUE,CUE,4 - Evan Li,35,7,11,2,2,1,2,1,2,3,4,2,0,2,2,17
2025_10_25_LAKEvCUE,CUE,6 - Shak Jama,34,8,22,3,9,5,11,1,4,5,6,1,0,3,3,24
2025_10_25_LAKEvCUE,CUE,8 - Keellaa Gatwech,37,10,21,0,3,1,2,5,10,15,3,0,0,2,1,21
2025_10_25_LAKEvCUE,CUE,16 - Noah Julien,23,2,5,0,0,3,4,2,2,4,1,0,0,0,4,7
2025_10_25_LAKEvCUE,CUE,7 - Tedi Eguagie,5,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0
2025_10_25_LAKEvCUE,CUE,9 - Roka Phalen-Baker,23,1,11,0,3,1,2,0,4,4,7,1,0,3,1,3
2025_10_25_LAKEvCUE,CUE,12 - Devon Weleschuk,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,3
2025_10_25_LAKEvCUE,CUE,14 - Izaec Oppal,9,0,2,0,2,0,0,1,0,1,1,0,0,0,1,0
