game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_25_OCvBC,OC,5 - Kevin Mvemba,24,4,16,3,13,1,2,0,2,2,3,1,0,3,1,12
2025_10_25_OCvBC,OC,7 - Akot Kuannace,24,2,11,2,9,0,0,2,7,9,2,0,0,1,1,6
2025_10_25_OCvBC,OC,13 - Corbin MacMillan,28,8,15,2,6,0,0,1,3,4,0,1,0,4,4,18
2025_10_25_OCvBC,OC,15 - Jason Moreira,27,0,2,0,0,0,0,2,7,9,1,0,0,2,1,0
2025_10_25_OCvBC,OC,21 - Nicholas McKoy,31,6,12,0,3,6,6,2,4,6,4,1,0,6,1,18
2025_10_25_OCvBC,OC,3 - Ethan Rossworm,10,2,6,2,4,0,0,0,1,1,0,1,0,1,3,6
2025_10_25_OCvBC,OC,4 - Rylan Warren,9,2,5,2,5,0,0,0,0,0,2,0,0,0,0,6
2025_10_25_OCvBC,OC,9 - Will Jacques,21,1,8,0,5,1,2,1,4,5,4,2,0,1,2,3
2025_10_25_OCvBC,OC,14 - Alex DeRanger,19,1,5,0,0,0,0,2,6,8,1,1,0,2,3,2
2025_10_25_OCvBC,OC,22 - Tarman Sandhu,6,0,2,0,2,1,2,1,1,2,0,0,0,0,0,1
2025_10_25_OCvBC,BC,1 - Gabe Vig,31,4,12,2,8,0,0,1,2,3,3,3,0,2,3,10
2025_10_25_OCvBC,BC,3 - Cole Koop,31,6,15,1,4,3,5,1,3,4,4,0,0,2,4,16
2025_10_25_OCvBC,BC,6 - Joshua Fox,19,0,3,0,0,0,0,6,3,9,1,0,1,3,1,0
2025_10_25_OCvBC,BC,10 - Carter Waind,34,13,21,2,5,3,4,3,7,10,6,5,0,2,2,31
2025_10_25_OCvBC,BC,14 - Owen Shepherd-Hills,31,5,15,3,11,3,4,1,9,10,2,1,1,1,2,16
2025_10_25_OCvBC,BC,2 - Markus Glasspell,18,2,9,0,7,1,1,0,2,2,3,1,0,3,0,5
2025_10_25_OCvBC,BC,4 - Chase Seaborn,11,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
2025_10_25_OCvBC,BC,24 - Brandon Houndonougbo,21,0,0,0,0,4,4,2,9,11,0,1,1,3,3,4
