game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_16_NWPvSTMU,NWP,04 - Kim Talavara,22,1,8,1,6,0,0,0,0,0,0,0,0,3,2,3
2025_10_16_NWPvSTMU,NWP,05 - Emma Van Dijk,29,2,4,0,0,0,0,1,2,3,2,4,0,12,2,4
2025_10_16_NWPvSTMU,NWP,08 - Peyton Breen,30,1,11,1,4,0,0,2,6,8,0,3,0,9,0,3
2025_10_16_NWPvSTMU,NWP,11 - Rachel Brooks,25,2,7,0,0,0,0,2,3,5,1,1,0,2,0,4
2025_10_16_NWPvSTMU,NWP,20 - Charlee McIntyre,17,2,3,0,0,0,2,0,1,1,1,1,0,2,0,4
2025_10_16_NWPvSTMU,NWP,03 - Keira Komarnicki,21,1,5,0,2,0,0,0,2,2,1,3,0,11,3,2
2025_10_16_NWPvSTMU,NWP,06 - Ainsley Price,14,0,2,0,2,0,0,0,0,0,1,1,0,4,2,0
2025_10_16_NWPvSTMU,NWP,07 - Rachael Eastland,18,0,5,0,5,0,0,1,0,1,0,1,0,3,0,0
2025_10_16_NWPvSTMU,NWP,12 - Brooke MacDonald,13,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0
2025_10_16_NWPvSTMU,NWP,14 - Zarah Mackay,7,1,3,0,1,0,0,1,0,1,0,0,1,1,0,2
2025_10_16_NWPvSTMU,NWP,23 - Kamryn Laverick,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2025_10_16_NWPvSTMU,STMU,05 - Kendal Russell,25,10,20,2,8,0,0,2,0,2,4,4,0,1,2,22
2025_10_16_NWPvSTMU,STMU,06 - Adit Deng,20,6,7,0,0,0,0,0,3,3,0,3,0,4,2,12
2025_10_16_NWPvSTMU,STMU,07 - Eva Nickerson,23,3,5,1,2,0,2,3,3,6,1,0,0,2,0,7
2025_10_16_NWPvSTMU,STMU,08 - Ivet Hidalgo,24,8,12,2,2,2,2,0,3,3,9,6,0,3,0,20
2025_10_16_NWPvSTMU,STMU,13 - Lesley Chalmers,24,2,5,0,1,4,4,2,4,6,3,5,1,3,1,8
2025_10_16_NWPvSTMU,STMU,01 - Keanna Richards,16,4,10,0,5,0,2,0,1,1,1,5,0,3,1,8
2025_10_16_NWPvSTMU,STMU,04 - Calla Mcleod,11,2,4,0,0,1,2,1,3,4,1,0,0,0,1,5
2025_10_16_NWPvSTMU,STMU,11 - Anna Murry,16,0,0,0,0,0,0,1,1,2,3,4,0,2,1,0
2025_10_16_NWPvSTMU,STMU,12 - Oge Ejim,9,3,3,0,0,0,0,3,1,4,0,3,0,1,0,6
2025_10_16_NWPvSTMU,STMU,14 - Salome Nuako,19,4,6,0,0,3,4,3,4,7,3,3,3,2,0,11
2025_10_16_NWPvSTMU,STMU,15 - Valentina Okeke,12,2,9,1,2,0,0,2,3,5,0,2,1,1,0,5

