game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_17_MHCvKC,MHC,1 - Kylee Michaluk,25,2,6,0,2,0,0,0,0,0,3,0,0,3,4,4
2025_10_17_MHCvKC,MHC,7 - Jordyn Knight,27,4,4,1,1,0,0,4,3,7,2,4,0,3,2,9
2025_10_17_MHCvKC,MHC,10 - Alexis Watkiss,25,4,9,0,1,4,7,2,1,3,4,3,0,3,1,12
2025_10_17_MHCvKC,MHC,12 - Jasmine Gardiner,35,12,19,2,3,7,8,0,0,0,3,2,0,8,1,33
2025_10_17_MHCvKC,MHC,14 - Achayo Bolok,15,1,3,0,2,0,0,2,2,4,1,1,0,4,3,2
2025_10_17_MHCvKC,MHC,2 - Dani Meyer,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025_10_17_MHCvKC,MHC,4 - Alei Kuthping,2,1,2,0,0,0,0,0,1,1,2,1,0,0,2,2
2025_10_17_MHCvKC,MHC,5 - Aislyn Farn,16,1,2,0,0,0,0,0,1,1,0,0,0,4,3,2
2025_10_17_MHCvKC,MHC,8 - Bella Leismeister,2,0,1,0,0,0,0,0,2,2,1,0,0,0,3,0
2025_10_17_MHCvKC,MHC,11 - Brynn Bremner,25,1,2,0,0,0,0,0,0,0,5,0,0,2,0,2
2025_10_17_MHCvKC,MHC,15 - Veda Gottselig,24,1,2,0,0,0,0,1,4,5,0,0,0,1,1,2
2025_10_17_MHCvKC,KC,7 - Ryley Bullock,33,6,14,1,2,0,2,2,2,4,4,6,0,4,4,13
2025_10_17_MHCvKC,KC,9 - Emma Tomchuk,24,3,4,0,0,0,0,0,0,0,3,1,0,5,1,6
2025_10_17_MHCvKC,KC,13 - Sydney Fraess,20,3,9,1,4,0,0,1,0,1,1,2,0,3,1,7
2025_10_17_MHCvKC,KC,14 - Alexis Kemp,36,3,6,0,1,3,6,1,3,4,3,3,0,4,1,9
2025_10_17_MHCvKC,KC,22 - Skylar Lalonde,20,3,3,2,2,1,4,3,1,4,5,1,0,0,4,9
2025_10_17_MHCvKC,KC,6 - Danika Cadieux,12,0,0,0,0,3,4,0,0,0,1,1,0,3,0,3
2025_10_17_MHCvKC,KC,8 - Chigoa Gatwech,4,1,4,0,0,0,0,2,0,2,0,0,0,0,1,2
2025_10_17_MHCvKC,KC,12 - Sarah Luger,10,0,0,0,0,2,2,1,1,2,1,2,0,2,1,2
2025_10_17_MHCvKC,KC,15 - Ellah Flanagan,13,0,3,0,2,0,2,0,1,1,0,1,0,3,1,0
2025_10_17_MHCvKC,KC,20 - Jaylynn Twin,28,6,11,0,0,1,3,4,4,8,2,1,1,0,4,13
