game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_17_NAITvRDP,NAIT,04 - Dior Sellars,35,4,9,1,4,2,2,0,3,3,5,2,0,4,1,11
2025_10_17_NAITvRDP,NAIT,05 - Sadie Nysetvold,15,1,3,0,0,0,0,2,3,5,2,0,0,3,2,2
2025_10_17_NAITvRDP,NAIT,06 - Payton Neilson,38,5,18,0,9,1,3,2,4,6,0,3,0,4,2,11
2025_10_17_NAITvRDP,NAIT,09 - Mikah Reed,33,6,16,4,11,0,0,0,4,4,1,0,0,2,1,16
2025_10_17_NAITvRDP,NAIT,14 - Grace Culshaw,18,2,8,0,0,0,0,4,5,9,2,0,0,1,2,4
2025_10_17_NAITvRDP,NAIT,01 - Adnee Tirao,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2025_10_17_NAITvRDP,NAIT,02 - Emily Cartmell,1,0,1,0,1,0,0,0,1,1,1,0,0,2,0,0
2025_10_17_NAITvRDP,NAIT,08 - Keanna Dewolfe,17,1,3,0,0,2,4,0,7,7,2,2,0,2,1,4
2025_10_17_NAITvRDP,NAIT,10 - Jessica Hardy,29,6,9,0,0,0,2,3,4,7,3,1,1,2,3,12
2025_10_17_NAITvRDP,NAIT,11 - Laura Wilson,11,2,5,0,1,0,0,1,2,3,2,1,0,3,4,4
2025_10_17_NAITvRDP,RDP,06 - Jorgia Hicks,38,3,12,0,2,4,6,5,2,7,2,3,0,3,3,10
2025_10_17_NAITvRDP,RDP,08 - Mia Cunningham,37,4,8,1,4,0,1,2,10,12,2,3,0,4,2,9
2025_10_17_NAITvRDP,RDP,09 - Avery Stypula,23,3,16,1,8,0,0,0,0,0,1,4,0,7,2,7
2025_10_17_NAITvRDP,RDP,11 - Selena Maguire,24,2,9,1,4,2,2,3,8,11,0,1,6,6,3,7
2025_10_17_NAITvRDP,RDP,12 - Nya Lual,22,1,11,0,3,3,4,2,1,3,0,1,0,0,2,5
2025_10_17_NAITvRDP,RDP,04 - Kasha Caibaiosai,11,0,0,0,0,0,0,1,2,3,1,0,0,1,1,0
2025_10_17_NAITvRDP,RDP,10 - Keira Dick,22,0,3,0,3,0,0,1,4,5,0,1,0,3,1,0
2025_10_17_NAITvRDP,RDP,13 - Willow Tanton,17,3,8,1,4,3,4,1,0,1,1,1,0,2,2,10
2025_10_17_NAITvRDP,RDP,21 - Kira Main,6,1,3,1,1,0,0,1,2,3,0,0,0,1,0,3
