game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_17_NWPvAMB,NWP,04 - Kim Talavara,36,2,7,0,4,0,0,0,3,3,1,1,0,9,1,4
2025_10_17_NWPvAMB,NWP,05 - Emma Van Dijk,26,1,5,0,2,0,0,2,2,4,2,5,0,7,2,2
2025_10_17_NWPvAMB,NWP,08 - Peyton Breen,37,2,13,1,8,4,12,2,3,5,1,1,0,8,2,9
2025_10_17_NWPvAMB,NWP,11 - Rachel Brooks,34,1,5,0,0,0,2,3,4,7,1,1,0,2,2,2
2025_10_17_NWPvAMB,NWP,20 - Charlee McIntyre,32,2,3,1,1,0,2,2,0,2,1,0,0,2,1,5
2025_10_17_NWPvAMB,NWP,03 - Keira Komarnicki,16,1,8,0,6,2,3,2,3,5,2,1,1,5,1,4
2025_10_17_NWPvAMB,NWP,06 - Ainsley Price,17,0,3,0,2,2,2,0,1,1,0,1,0,6,0,2
2025_10_17_NWPvAMB,NWP,07 - Rachael Eastland,14,0,6,0,3,2,4,0,0,0,0,0,0,5,1,2
2025_10_17_NWPvAMB,NWP,12 - Brooke MacDonald,8,1,1,0,0,3,6,0,3,3,0,1,2,0,1,5
2025_10_17_NWPvAMB,NWP,14 - Zarah Mackay,6,0,2,0,1,0,0,1,1,2,0,2,0,0,0,0
2025_10_17_NWPvAMB,NWP,23 - Kamryn Laverick,6,0,2,0,0,0,0,1,1,2,0,1,0,0,0,0
2025_10_17_NWPvAMB,AMB,3 - Audrey Dayrit,28,8,10,1,3,4,6,1,0,1,4,3,0,2,0,21
2025_10_17_NWPvAMB,AMB,4 - Prissy Chuoi,35,8,16,1,3,2,4,3,3,6,5,5,0,4,3,19
2025_10_17_NWPvAMB,AMB,7 - Grace Meyer,26,2,4,0,1,2,2,1,8,9,4,0,0,1,4,6
2025_10_17_NWPvAMB,AMB,8 - Andrijana Bokan,33,10,21,0,0,2,6,2,7,9,6,5,0,3,4,22
2025_10_17_NWPvAMB,AMB,21 - Ariana Dela Paz,27,1,5,1,2,3,4,0,1,1,4,3,0,4,1,6
2025_10_17_NWPvAMB,AMB,1 - Sara Shouhoud,11,0,4,0,3,0,0,1,1,2,2,4,0,0,2,0
2025_10_17_NWPvAMB,AMB,5 - Hannah Brundage,19,2,3,0,0,0,0,4,4,8,1,5,0,2,1,4
2025_10_17_NWPvAMB,AMB,6 - Kasey Breitkreuz,10,1,5,0,1,2,2,0,1,1,1,0,0,0,2,4
2025_10_17_NWPvAMB,AMB,11 - Juliana Hajduk,15,1,3,0,0,0,0,1,1,2,2,1,0,3,5,2
2025_10_17_NWPvAMB,AMB,13 - Emma Faith,17,3,6,0,1,0,0,1,1,2,0,2,0,1,0,6
2025_10_17_NWPvAMB,AMB,14 - Selma Kampala,16,1,1,0,0,0,0,1,2,3,0,2,0,1,2,2
