game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_17_SAITvCUE,SAIT,3 - Jaida Wallis,33,2,12,0,4,4,4,1,3,4,2,3,0,2,1,8
2025_10_17_SAITvCUE,SAIT,4 - Ava Kearl,16,3,7,0,3,1,2,0,1,1,0,2,0,3,5,7
2025_10_17_SAITvCUE,SAIT,5 - Kyler Varga,37,4,23,1,4,2,6,0,1,1,2,4,0,4,4,11
2025_10_17_SAITvCUE,SAIT,8 - Tana Iwanusiw,39,7,20,6,12,1,2,3,0,3,2,1,2,2,3,21
2025_10_17_SAITvCUE,SAIT,10 - Kitawna Sparks,28,2,10,0,0,3,4,5,5,10,4,0,0,5,4,7
2025_10_17_SAITvCUE,SAIT,6 - Lauren White,9,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0
2025_10_17_SAITvCUE,SAIT,7 - Tyla Hammermaster,6,1,3,0,1,0,0,0,1,1,0,0,0,0,0,2
2025_10_17_SAITvCUE,SAIT,9 - Evelyn Smith,13,0,4,0,2,0,0,0,0,0,1,1,0,1,1,0
2025_10_17_SAITvCUE,SAIT,11 - Claire Van Winkle,7,0,0,0,0,1,2,1,2,3,0,0,0,1,2,1
2025_10_17_SAITvCUE,SAIT,12 - Tyler Graham,4,0,0,0,0,0,0,0,2,2,1,0,0,1,2,0
2025_10_17_SAITvCUE,SAIT,22 - Keneisha Nepinak,5,0,2,0,0,1,2,2,1,3,1,1,0,2,3,1
2025_10_17_SAITvCUE,CUE,2 - Haley Cleland,28,2,6,0,0,0,0,2,7,9,4,2,0,3,4,4
2025_10_17_SAITvCUE,CUE,3 - Laurel Van der Giessen,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2025_10_17_SAITvCUE,CUE,7 - Georgia Bowman,28,4,9,0,1,0,0,2,3,5,2,2,0,4,1,8
2025_10_17_SAITvCUE,CUE,8 - Chloe Sutherland,29,8,12,1,2,1,1,1,6,7,3,1,0,7,4,18
2025_10_17_SAITvCUE,CUE,12 - Grethe Winchell,23,4,7,0,0,3,6,3,4,7,1,1,1,0,3,11
2025_10_17_SAITvCUE,CUE,1 - Jaycee May,17,1,5,1,3,0,0,0,1,1,2,0,0,2,2,3
2025_10_17_SAITvCUE,CUE,4 - Tayla Hannah,6,0,1,0,1,1,2,0,1,1,0,0,0,2,1,1
2025_10_17_SAITvCUE,CUE,5 - Julianne Baker,13,1,5,0,0,1,4,0,3,3,4,1,0,3,3,3
2025_10_17_SAITvCUE,CUE,9 - Megan Jetzke,18,0,4,0,2,2,4,0,2,2,2,2,0,2,0,2
2025_10_17_SAITvCUE,CUE,10 - Rylie Stewart,10,4,8,0,0,1,3,1,1,2,1,2,0,1,1,9
2025_10_17_SAITvCUE,CUE,17 - Elisa Hummel,18,3,10,0,0,2,7,3,5,8,0,1,0,2,1,8
