game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_18_LPKvCUE,LPK,3 - Gianna Gammie,26,2,7,0,1,0,0,1,2,3,0,0,0,3,0,4
2025_10_18_LPKvCUE,LPK,8 - Bailey Blackmore,30,5,9,2,4,0,0,0,6,6,0,0,1,7,3,12
2025_10_18_LPKvCUE,LPK,9 - Summer Long,32,2,9,1,5,3,4,0,6,6,2,0,0,5,2,8
2025_10_18_LPKvCUE,LPK,11 - Nyomi Heins,21,2,3,0,0,3,4,0,0,0,0,0,0,2,0,7
2025_10_18_LPKvCUE,LPK,13 - Gaby Power,29,2,8,2,7,0,0,0,4,4,1,0,0,1,2,6
2025_10_18_LPKvCUE,LPK,5 - Mylynn Lewis,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_18_LPKvCUE,LPK,6 - Paighton Kumson,16,1,5,1,3,2,2,1,1,2,0,0,0,3,2,5
2025_10_18_LPKvCUE,LPK,7 - Kaycee Tallman,6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2025_10_18_LPKvCUE,LPK,10 - Yar Biar,13,0,1,0,1,0,2,0,2,2,0,0,0,5,2,0
2025_10_18_LPKvCUE,LPK,12 - Zoe Michelson,12,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2
2025_10_18_LPKvCUE,LPK,14 - Gabby Graves,3,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0
2025_10_18_LPKvCUE,LPK,21 - Ava Michelson,10,0,3,0,0,1,2,0,3,3,0,0,0,1,0,1
2025_10_18_LPKvCUE,CUE,1 - Jaycee May,21,2,8,1,5,0,0,0,2,2,1,0,0,1,1,5
2025_10_18_LPKvCUE,CUE,2 - Haley Cleland,27,7,14,3,6,0,0,2,2,4,3,0,1,0,1,17
2025_10_18_LPKvCUE,CUE,7 - Georgia Bowman,17,3,9,0,2,0,0,1,2,3,1,1,0,1,0,6
2025_10_18_LPKvCUE,CUE,8 - Chloe Sutherland,34,14,24,2,3,0,0,2,5,7,2,4,1,3,2,30
2025_10_18_LPKvCUE,CUE,12 - Grethe Winchell,25,4,7,0,0,2,4,3,3,6,0,0,0,1,4,10
2025_10_18_LPKvCUE,CUE,3 - Laurel Van der Giessen,6,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
2025_10_18_LPKvCUE,CUE,4 - Tayla Hannah,8,1,3,1,2,2,2,0,1,1,0,0,0,3,2,5
2025_10_18_LPKvCUE,CUE,5 - Julianne Baker,16,0,0,0,0,0,2,0,2,2,0,3,0,0,2,0
2025_10_18_LPKvCUE,CUE,9 - Megan Jetzke,16,2,8,0,3,0,0,0,5,5,0,0,0,3,0,4
2025_10_18_LPKvCUE,CUE,10 - Rylie Stewart,16,1,9,0,1,2,2,1,1,2,0,0,0,2,1,4
2025_10_18_LPKvCUE,CUE,13 - Maeve Holden,4,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
2025_10_18_LPKvCUE,CUE,17 - Elisa Hummel,11,0,2,0,0,0,0,1,2,3,0,0,0,1,1,0
