game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_18_MHCvLAKE,MHC,1 - Kylee Michaluk,27,2,6,1,4,1,2,2,2,4,1,0,0,3,3,6
2025_10_18_MHCvLAKE,MHC,7 - Jordyn Knight,21,4,6,1,2,0,0,0,1,1,1,2,0,3,1,9
2025_10_18_MHCvLAKE,MHC,10 - Alexis Watkiss,18,5,11,0,0,3,4,1,4,5,0,1,0,3,0,13
2025_10_18_MHCvLAKE,MHC,12 - Jasmine Gardiner,17,6,11,1,1,1,2,2,3,5,4,2,0,4,2,14
2025_10_18_MHCvLAKE,MHC,15 - Veda Gottselig,23,4,9,0,1,0,4,5,5,10,2,4,0,3,0,8
2025_10_18_MHCvLAKE,MHC,2 - Dani Meyer,16,1,3,1,3,1,2,0,3,3,6,2,0,2,0,4
2025_10_18_MHCvLAKE,MHC,4 - Alei Kuthping,16,2,6,1,4,0,0,0,0,0,1,1,0,4,0,5
2025_10_18_MHCvLAKE,MHC,5 - Aislyn Farn,18,2,4,0,2,2,4,1,0,1,0,3,0,3,0,6
2025_10_18_MHCvLAKE,MHC,8 - Bella Leismeister,10,2,6,1,2,0,0,1,1,2,1,2,0,1,5,5
2025_10_18_MHCvLAKE,MHC,11 - Brynn Bremner,21,3,8,1,4,2,2,2,0,2,0,2,0,3,0,9
2025_10_18_MHCvLAKE,MHC,14 - Achayo Bolok,20,2,4,2,2,1,2,1,1,2,3,2,0,0,3,7
2025_10_18_MHCvLAKE,LAKE,6 - Taylor Hebert,34,4,12,1,3,1,1,0,2,2,4,3,1,11,1,10
2025_10_18_MHCvLAKE,LAKE,7 - Abbi Smith,27,2,2,0,0,0,0,1,2,3,1,3,0,9,4,4
2025_10_18_MHCvLAKE,LAKE,8 - Kate Rever,20,2,8,0,4,2,3,3,2,5,1,0,0,6,2,6
2025_10_18_MHCvLAKE,LAKE,9 - Sarah Wolfe,15,1,4,0,0,0,0,2,4,6,0,0,1,4,2,2
2025_10_18_MHCvLAKE,LAKE,16 - Reese Fenrich,30,4,14,1,3,0,0,4,4,8,2,1,0,4,3,9
2025_10_18_MHCvLAKE,LAKE,3 - Sadie Spenrath,23,0,4,0,1,0,0,0,1,1,1,1,0,4,4,0
2025_10_18_MHCvLAKE,LAKE,4 - Jaleya Williams,18,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2025_10_18_MHCvLAKE,LAKE,5 - Cezanne Lapierre,28,2,2,0,0,0,0,1,0,1,0,0,0,4,2,4
2025_10_18_MHCvLAKE,LAKE,12 - Talia Thunderchild,24,1,5,1,5,2,4,0,3,3,1,2,0,2,2,5
