game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_18_UAAvRDP,UAA,05 - Mallory Ogilvie,34,7,11,3,5,0,0,3,4,7,5,0,1,3,2,17
2025_10_18_UAAvRDP,UAA,08 - Izzie Seiler,27,0,3,0,1,1,2,1,4,5,0,2,0,5,0,1
2025_10_18_UAAvRDP,UAA,11 - Ella Newman,26,4,13,3,9,0,0,1,6,7,2,2,1,1,0,11
2025_10_18_UAAvRDP,UAA,13 - Ella O'Hara,31,0,6,0,3,0,0,0,5,5,1,2,0,6,2,0
2025_10_18_UAAvRDP,UAA,23 - Erin Howes,20,3,9,0,2,0,2,4,4,8,4,1,0,8,1,6
2025_10_18_UAAvRDP,UAA,09 - Payton Mueller,21,3,7,2,3,3,4,0,2,2,0,2,2,0,2,11
2025_10_18_UAAvRDP,UAA,10 - Rachel Seguin,17,1,4,0,0,0,2,2,2,4,3,0,0,2,0,2
2025_10_18_UAAvRDP,UAA,12 - Frances Tiongson,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025_10_18_UAAvRDP,UAA,24 - Raylene Badger,20,6,12,1,2,0,0,0,4,4,0,1,0,2,3,13
2025_10_18_UAAvRDP,RDP,06 - Jorgia Hicks,35,6,14,0,1,4,6,2,2,4,5,2,0,3,2,16
2025_10_18_UAAvRDP,RDP,08 - Mia Cunningham,37,3,13,3,8,0,0,2,8,10,0,2,0,3,0,9
2025_10_18_UAAvRDP,RDP,09 - Avery Stypula,25,4,18,1,10,1,1,2,1,3,2,3,0,5,1,10
2025_10_18_UAAvRDP,RDP,11 - Selena Maguire,34,1,11,1,9,1,6,2,8,10,3,4,2,2,2,4
2025_10_18_UAAvRDP,RDP,13 - Willow Tanton,17,1,3,0,1,2,2,0,0,0,0,2,0,1,3,4
2025_10_18_UAAvRDP,RDP,04 - Kasha Caibaiosai,20,0,1,0,0,0,0,0,1,1,1,1,1,2,0,0
2025_10_18_UAAvRDP,RDP,10 - Keira Dick,9,0,2,0,0,0,0,3,1,4,0,2,0,3,1,0
2025_10_18_UAAvRDP,RDP,12 - Nya Lual,6,0,3,0,2,0,0,1,0,1,0,0,0,0,1,0
2025_10_18_UAAvRDP,RDP,21 - Kira Main,17,2,5,1,3,0,2,0,4,4,2,0,0,3,1,5
