game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_24_CUEvLAKE,CUE,1 - Jaycee May,24,5,10,1,3,0,0,0,0,0,2,2,0,1,1,11
2025_10_24_CUEvLAKE,CUE,2 - Haley Cleland,23,3,8,0,3,0,0,1,2,3,0,5,0,0,3,6
2025_10_24_CUEvLAKE,CUE,9 - Megan Jetzke,24,7,10,2,2,2,3,3,3,6,3,1,0,3,2,18
2025_10_24_CUEvLAKE,CUE,12 - Grethe Winchell,19,3,9,0,0,4,4,1,2,3,1,1,0,3,2,10
2025_10_24_CUEvLAKE,CUE,17 - Elisa Hummel,18,3,8,0,1,1,1,5,1,6,0,1,0,1,2,7
2025_10_24_CUEvLAKE,CUE,3 - Laurel Van der Giessen,10,1,3,0,0,2,2,1,2,3,1,0,0,1,2,4
2025_10_24_CUEvLAKE,CUE,4 - Tayla Hannah,19,2,11,0,5,3,3,3,0,3,3,5,0,4,2,7
2025_10_24_CUEvLAKE,CUE,5 - Julianne Baker,18,0,1,0,0,0,0,1,0,1,3,2,0,1,1,0
2025_10_24_CUEvLAKE,CUE,6 - Jenna Rinsky,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2025_10_24_CUEvLAKE,CUE,10 - Rylie Stewart,16,4,7,0,1,0,0,2,0,2,0,3,0,2,2,8
2025_10_24_CUEvLAKE,CUE,13 - Maeve Holden,13,1,5,0,2,3,3,0,0,0,2,0,0,1,0,5
2025_10_24_CUEvLAKE,CUE,14 - Avery Wood,6,2,5,0,1,0,0,1,0,1,1,1,0,4,2,4
2025_10_24_CUEvLAKE,CUE,16 - Isabelle Rowe,7,1,2,0,0,0,0,1,0,1,0,0,0,1,1,2
2025_10_24_CUEvLAKE,LAKE,6 - Taylor Hebert,34,2,7,0,0,2,3,1,2,3,7,3,0,5,2,6
2025_10_24_CUEvLAKE,LAKE,7 - Abbi Smith,25,2,6,0,0,2,2,0,0,0,2,1,0,8,2,6
2025_10_24_CUEvLAKE,LAKE,8 - Kate Rever,28,4,7,2,3,2,2,2,2,4,1,2,0,4,0,12
2025_10_24_CUEvLAKE,LAKE,14 - Alex McLaren,21,2,2,1,1,0,0,1,2,3,1,1,0,2,4,5
2025_10_24_CUEvLAKE,LAKE,16 - Reese Fenrich,32,4,5,0,0,0,0,0,3,3,0,2,0,8,3,8
2025_10_24_CUEvLAKE,LAKE,3 - Sadie Spenrath,22,3,4,2,3,0,0,0,1,1,1,0,0,3,3,8
2025_10_24_CUEvLAKE,LAKE,5 - Cezanne Lapierre,4,1,2,0,0,2,2,0,0,0,0,0,0,1,4,4
2025_10_24_CUEvLAKE,LAKE,9 - Sarah Wolfe,20,2,5,0,2,0,0,0,2,2,1,0,0,5,4,4
2025_10_24_CUEvLAKE,LAKE,12 - Talia Thunderchild,10,0,0,0,0,0,0,0,3,3,1,3,0,3,0,0
