game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_24_LPKvSTMU,LPK,04 - Gaby Power,23,2,3,2,3,0,0,1,3,4,0,1,0,7,0,6
2025_10_24_LPKvSTMU,LPK,8 - Bailey Blackmore,21,3,5,2,3,5,8,0,6,6,0,2,1,7,2,13
2025_10_24_LPKvSTMU,LPK,9 - Summer Long,36,4,16,3,14,1,2,1,3,4,2,0,1,10,1,12
2025_10_24_LPKvSTMU,LPK,11 - Nyomi Heins,27,0,6,0,3,0,0,1,4,5,2,2,0,4,2,0
2025_10_24_LPKvSTMU,LPK,22 - Chase Wells-Creighton,31,1,11,0,3,4,6,5,4,9,1,1,1,1,2,6
2025_10_24_LPKvSTMU,LPK,6 - Paighton Kumson,14,2,5,1,3,0,0,0,0,0,3,1,0,4,4,5
2025_10_24_LPKvSTMU,LPK,7 - Kaycee Tallman,12,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0
2025_10_24_LPKvSTMU,LPK,12 - Zoe Michelson,11,2,3,0,1,1,2,1,2,3,0,0,0,5,0,5
2025_10_24_LPKvSTMU,LPK,14 - Gabby Graves,8,2,3,0,0,0,0,2,1,3,1,0,0,0,1,4
2025_10_24_LPKvSTMU,LPK,21 - Ava Michelson,7,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0
2025_10_24_LPKvSTMU,STMU,05 - Kendal Russell,29,11,24,6,16,5,6,2,2,4,4,5,0,10,2,33
2025_10_24_LPKvSTMU,STMU,07 - Eva Nickerson,21,1,5,0,3,1,2,2,1,3,3,3,0,1,0,3
2025_10_24_LPKvSTMU,STMU,08 - Ivet Hidalgo,29,3,12,2,5,4,5,0,3,3,4,4,0,5,1,12
2025_10_24_LPKvSTMU,STMU,13 - Lesley Chalmers,29,2,7,1,4,0,0,0,0,0,1,6,1,0,4,5
2025_10_24_LPKvSTMU,STMU,14 - Salome Nuako,21,4,5,0,0,3,3,6,3,9,1,0,4,0,3,11
2025_10_24_LPKvSTMU,STMU,01 - Keanna Richards,5,1,2,0,0,0,0,1,0,1,0,2,0,1,1,2
2025_10_24_LPKvSTMU,STMU,04 - Calla Mcleod,7,5,8,1,3,0,0,0,0,0,0,1,0,2,2,11
2025_10_24_LPKvSTMU,STMU,09 - Kendyl Shelestynsky,16,1,3,1,2,0,0,1,3,4,2,1,0,1,1,3
2025_10_24_LPKvSTMU,STMU,11 - Anna Murry,14,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0
2025_10_24_LPKvSTMU,STMU,12 - Oge Ejim,17,1,6,0,0,2,3,6,3,9,3,0,0,4,2,4
2025_10_24_LPKvSTMU,STMU,15 - Valentina Okeke,12,0,4,0,1,0,0,0,1,1,2,2,2,1,4,0
