game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_24_NAITvTKU,NAIT,04 - Dior Sellars,36,3,12,2,7,4,4,0,1,1,5,3,0,4,2,12
2025_10_24_NAITvTKU,NAIT,06 - Payton Neilson,36,3,11,0,2,6,8,0,2,2,2,3,0,2,4,12
2025_10_24_NAITvTKU,NAIT,09 - Mikah Reed,25,2,7,1,3,2,2,0,0,0,0,2,1,3,3,7
2025_10_24_NAITvTKU,NAIT,13 - Rory Vandermeer,13,1,1,0,0,2,2,1,3,4,0,0,1,0,5,4
2025_10_24_NAITvTKU,NAIT,14 - Grace Culshaw,27,2,2,0,0,1,2,2,4,6,0,1,1,1,2,5
2025_10_24_NAITvTKU,NAIT,00 - Laila Wright,19,3,8,0,0,6,8,2,2,4,0,4,1,2,2,12
2025_10_24_NAITvTKU,NAIT,05 - Sadie Nysetvold,16,0,0,0,0,0,2,1,0,1,0,1,0,1,2,0
2025_10_24_NAITvTKU,NAIT,08 - Keanna Dewolfe,14,2,4,0,1,3,6,0,1,1,0,3,0,4,3,7
2025_10_24_NAITvTKU,NAIT,10 - Jessica Hardy,13,0,0,0,0,1,2,1,0,1,0,0,0,2,3,1
2025_10_24_NAITvTKU,TKU,3 - Jamie Bunting,17,1,5,0,0,1,1,2,2,4,3,1,0,4,5,3
2025_10_24_NAITvTKU,TKU,13 - Megan Aleman,35,3,12,2,3,4,5,5,2,7,4,5,0,5,3,12
2025_10_24_NAITvTKU,TKU,15 - Jordana Rivet,30,6,9,6,9,0,0,1,1,2,3,2,0,1,3,18
2025_10_24_NAITvTKU,TKU,19 - Aneilia Ayotte,32,8,15,0,0,5,7,1,6,7,1,1,1,3,2,21
2025_10_24_NAITvTKU,TKU,22 - Tori Day,23,6,8,0,0,1,1,3,6,9,0,1,1,2,3,13
2025_10_24_NAITvTKU,TKU,5 - Hailey Yorke,16,0,1,0,0,0,0,1,0,1,3,1,0,1,3,0
2025_10_24_NAITvTKU,TKU,6 - Olivia Pedersen,6,1,4,0,2,0,0,1,0,1,0,0,0,2,1,2
2025_10_24_NAITvTKU,TKU,14 - Raya Plouffe,21,1,3,1,2,0,0,2,1,3,4,1,0,5,1,3
2025_10_24_NAITvTKU,TKU,18 - Ryan Queeley,2,0,0,0,0,3,4,1,0,1,0,0,0,0,1,3
2025_10_24_NAITvTKU,TKU,20 - Kayleena Garda,12,1,2,0,0,1,2,0,2,2,0,0,0,1,3,3
