game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_24_OCvBC,OC,1 - Bree Hagen,15,1,4,0,3,0,0,0,1,1,2,1,0,12,1,2
2025_10_24_OCvBC,OC,2 - Kayla Hawryshko,17,2,4,1,4,2,2,2,0,2,0,0,0,9,4,7
2025_10_24_OCvBC,OC,4 - Chayanna Santillan,19,0,9,0,4,0,0,1,1,2,1,1,0,6,1,0
2025_10_24_OCvBC,OC,7 - Haylee-Jo Heggie,14,0,1,0,1,0,0,3,0,3,0,1,0,2,2,0
2025_10_24_OCvBC,OC,12 - Lily Morgan,13,0,1,0,0,1,1,2,2,4,0,2,0,1,2,1
2025_10_24_OCvBC,OC,3 - Macy Burkell,13,1,3,1,1,1,1,0,0,0,0,0,0,3,1,4
2025_10_24_OCvBC,OC,5 - Emma Warner,13,0,4,0,3,0,0,0,1,1,0,1,0,2,0,0
2025_10_24_OCvBC,OC,6 - Georgia Bird,12,0,2,0,2,1,1,0,1,1,0,2,0,2,2,1
2025_10_24_OCvBC,OC,21 - Hellen Ballesteros Aldana,12,0,0,0,0,1,1,0,0,0,0,1,0,2,0,1
2025_10_24_OCvBC,OC,22 - Makayla Fleischfresser,18,2,4,0,1,2,2,1,11,12,0,0,0,1,1,6
2025_10_24_OCvBC,OC,24 - Abigail Porter,15,2,2,0,0,2,2,1,3,4,0,0,0,1,1,6
2025_10_24_OCvBC,BC,3 - Eve Duerksen,18,2,10,0,3,1,2,0,2,2,2,3,0,2,1,5
2025_10_24_OCvBC,BC,6 - Sydney Waind,19,4,6,1,6,2,2,2,2,4,4,4,0,1,0,11
2025_10_24_OCvBC,BC,8 - Sienna Anderson,16,3,6,3,3,1,2,1,3,4,0,3,0,2,2,10
2025_10_24_OCvBC,BC,9 - Dori Sunderland,18,2,10,0,6,1,2,2,4,6,5,3,0,3,1,5
2025_10_24_OCvBC,BC,10 - Hannah Matuszewski,18,0,0,0,0,0,0,1,0,1,4,8,0,4,2,0
2025_10_24_OCvBC,BC,5 - Rielle Klassen,12,1,1,1,1,3,4,1,2,3,2,1,0,2,0,6
2025_10_24_OCvBC,BC,7 - Sadie Prinsen,8,3,4,1,3,1,4,0,4,4,2,0,0,1,0,8
2025_10_24_OCvBC,BC,11 - Jovana Prodanovic,16,3,9,0,3,0,0,2,1,3,1,4,0,2,1,6
2025_10_24_OCvBC,BC,14 - Taylor Chepil,14,2,5,0,0,0,0,3,3,6,2,0,0,2,3,4
2025_10_24_OCvBC,BC,15 - Claire Grislis,19,1,3,0,3,1,1,4,3,7,0,2,0,4,2,3
2025_10_24_OCvBC,BC,22 - Aubrey Gallagher,7,1,3,1,3,0,0,0,1,1,1,0,0,2,0,3
2025_10_24_OCvBC,BC,24 - Sarah Neustaeter,19,6,12,0,2,0,0,9,5,14,1,2,0,3,0,12
