game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_25_LAKEvCUE,LAKE,6 - Taylor Hebert,30,2,7,0,3,1,2,1,6,7,1,3,0,10,4,5
2025_10_25_LAKEvCUE,LAKE,7 - Abbi Smith,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025_10_25_LAKEvCUE,LAKE,8 - Kate Rever,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_25_LAKEvCUE,LAKE,14 - Alex McLaren,35,2,7,0,0,2,3,2,8,10,2,2,2,6,0,6
2025_10_25_LAKEvCUE,LAKE,16 - Reese Fenrich,38,4,10,0,0,1,5,7,6,13,1,1,0,6,2,9
2025_10_25_LAKEvCUE,LAKE,2 - Jaleya Williams,11,0,2,0,2,0,0,0,1,1,0,0,0,5,3,0
2025_10_25_LAKEvCUE,LAKE,3 - Sadie Spenrath,33,1,7,1,4,0,0,0,2,2,1,2,0,10,5,3
2025_10_25_LAKEvCUE,LAKE,9 - Sarah Wolfe,19,1,4,0,1,0,2,1,3,4,1,1,0,4,4,2
2025_10_25_LAKEvCUE,LAKE,12 - Talia Thunderchild,29,1,7,1,5,0,0,0,1,1,2,0,0,5,0,3
2025_10_25_LAKEvCUE,CUE,1 - Jaycee May,22,2,6,0,3,0,0,0,5,5,0,2,0,0,2,4
2025_10_25_LAKEvCUE,CUE,2 - Haley Cleland,26,3,7,1,4,0,2,1,2,3,2,3,1,3,2,7
2025_10_25_LAKEvCUE,CUE,8 - Chloe Sutherland,26,8,21,1,6,3,5,3,4,7,12,9,0,2,0,20
2025_10_25_LAKEvCUE,CUE,9 - Megan Jetzke,20,5,11,1,4,2,3,2,3,5,1,1,0,8,0,13
2025_10_25_LAKEvCUE,CUE,12 - Grethe Winchell,14,2,5,0,0,0,2,5,1,6,1,1,1,1,5,4
2025_10_25_LAKEvCUE,CUE,3 - Laurel Van der Giessen,11,1,1,1,1,0,1,0,1,1,3,3,0,1,0,3
2025_10_25_LAKEvCUE,CUE,4 - Tayla Hannah,12,1,6,0,0,0,2,0,1,1,0,0,0,4,2,2
2025_10_25_LAKEvCUE,CUE,5 - Julianne Baker,16,2,5,1,2,0,4,1,0,1,1,3,0,1,1,5
2025_10_25_LAKEvCUE,CUE,10 - Rylie Stewart,19,4,8,0,0,2,2,2,0,2,3,2,0,1,2,10
2025_10_25_LAKEvCUE,CUE,13 - Maeve Holden,10,1,4,0,0,0,0,0,1,1,0,0,0,0,0,2
2025_10_25_LAKEvCUE,CUE,14 - Avery Wood,8,1,4,0,1,0,0,0,1,1,0,1,0,1,2,2
2025_10_25_LAKEvCUE,CUE,17 - Elisa Hummel,11,0,1,0,0,0,0,0,1,1,2,1,1,1,1,0
