game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_25_MHCvAMB,MHC,1 - Kylee Michaluk,16,0,3,0,2,0,0,0,1,1,1,0,0,0,1,0
2025_10_25_MHCvAMB,MHC,7 - Jordyn Knight,23,7,10,4,5,3,4,4,3,7,3,4,0,2,1,21
2025_10_25_MHCvAMB,MHC,10 - Alexis Watkiss,17,7,13,0,0,3,4,1,7,8,2,1,0,2,5,17
2025_10_25_MHCvAMB,MHC,12 - Jasmine Gardiner,23,8,18,0,6,4,4,0,3,3,13,7,1,5,1,20
2025_10_25_MHCvAMB,MHC,15 - Veda Gottselig,26,5,13,1,1,2,2,4,5,9,0,0,0,3,0,13
2025_10_25_MHCvAMB,MHC,2 - Dani Meyer,10,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0
2025_10_25_MHCvAMB,MHC,4 - Alei Kuthping,12,1,5,0,3,0,2,0,1,1,1,0,0,3,1,2
2025_10_25_MHCvAMB,MHC,5 - Aislyn Farn,25,1,3,1,1,2,2,1,4,5,1,1,0,4,3,5
2025_10_25_MHCvAMB,MHC,11 - Brynn Bremner,18,2,4,0,1,0,0,2,1,3,0,1,0,3,2,4
2025_10_25_MHCvAMB,MHC,13 - Elaina Korver,6,1,1,0,0,0,0,0,2,2,0,0,0,1,2,2
2025_10_25_MHCvAMB,MHC,14 - Achayo Bolok,25,2,3,0,0,0,0,3,1,4,3,4,0,7,1,4
2025_10_25_MHCvAMB,AMB,3 - Audrey Dayrit,12,0,6,0,5,0,0,1,1,2,1,1,0,2,0,0
2025_10_25_MHCvAMB,AMB,5 - Hannah Brundage,28,2,8,0,1,2,4,3,2,5,1,2,1,3,2,6
2025_10_25_MHCvAMB,AMB,7 - Grace Meyer,36,10,25,7,14,6,8,4,5,9,3,5,1,6,1,33
2025_10_25_MHCvAMB,AMB,8 - Andrijana Bokan,26,3,8,0,0,0,0,1,6,7,5,3,1,9,4,6
2025_10_25_MHCvAMB,AMB,11 - Juliana Hajduk,24,2,5,0,0,0,0,4,3,7,0,1,0,3,1,4
2025_10_25_MHCvAMB,AMB,1 - Sara Shouhoud,14,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0
2025_10_25_MHCvAMB,AMB,6 - Kasey Breitkreuz,10,1,3,0,2,0,0,0,0,0,0,0,0,0,2,2
2025_10_25_MHCvAMB,AMB,13 - Emma Faith,20,1,4,0,0,0,0,1,3,4,5,0,0,6,3,2
2025_10_25_MHCvAMB,AMB,14 - Selma Kampala,9,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
2025_10_25_MHCvAMB,AMB,21 - Ariana Dela Paz,20,2,9,0,1,2,6,1,0,1,4,1,0,3,1,6
