game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_25_NWPvKC,NWP,03 - Keira Komarnicki,32,1,4,0,0,1,4,0,2,2,5,1,0,6,1,3
2025_10_25_NWPvKC,NWP,04 - Kim Talavara,18,4,7,2,2,0,0,0,1,1,1,3,0,3,1,10
2025_10_25_NWPvKC,NWP,05 - Emma Van Dijk,34,4,8,0,2,0,0,0,6,6,1,2,0,3,1,8
2025_10_25_NWPvKC,NWP,08 - Peyton Breen,22,3,13,1,5,4,6,1,3,4,2,0,0,1,2,11
2025_10_25_NWPvKC,NWP,12 - Brooke MacDonald,34,1,1,0,0,4,6,1,5,6,1,1,1,0,3,6
2025_10_25_NWPvKC,NWP,06 - Ainsley Price,18,0,4,0,2,0,0,0,1,1,1,0,2,0,0,0
2025_10_25_NWPvKC,NWP,07 - Rachael Eastland,11,1,4,1,1,0,0,0,0,0,1,0,0,3,2,3
2025_10_25_NWPvKC,NWP,09 - Kourtnie Menzies,10,2,6,0,2,0,0,0,1,1,0,1,0,2,2,4
2025_10_25_NWPvKC,NWP,10 - Carissa Elliott,4,0,2,0,0,2,2,0,2,2,2,1,0,0,3,2
2025_10_25_NWPvKC,NWP,14 - Zarah Mackay,9,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0
2025_10_25_NWPvKC,NWP,20 - Charlee McIntyre,8,2,3,1,1,1,1,0,2,2,0,1,0,0,1,6
2025_10_25_NWPvKC,KC,3 - Arian Batallones,32,3,7,0,1,3,4,2,0,2,8,3,1,2,2,9
2025_10_25_NWPvKC,KC,6 - Danika Cadieux,23,4,13,0,3,0,3,1,0,1,0,1,0,2,1,8
2025_10_25_NWPvKC,KC,7 - Ryley Bullock,31,5,10,3,5,5,6,3,2,5,4,5,0,9,2,18
2025_10_25_NWPvKC,KC,14 - Alexis Kemp,13,1,7,0,1,1,2,1,5,6,0,1,1,6,0,3
2025_10_25_NWPvKC,KC,21 - Anya Pain,12,1,1,0,0,1,2,0,3,3,0,0,0,0,1,3
2025_10_25_NWPvKC,KC,5 - Simarpreet Giani,14,1,5,0,4,0,0,1,1,2,0,1,0,0,1,2
2025_10_25_NWPvKC,KC,8 - Chigoa Gatwech,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_10_25_NWPvKC,KC,12 - Sarah Luger,29,1,2,0,0,1,2,0,2,2,0,0,0,1,1,3
2025_10_25_NWPvKC,KC,13 - Sydney Fraess,9,1,2,0,0,4,4,0,1,1,1,1,0,3,3,6
2025_10_25_NWPvKC,KC,20 - Jaylynn Twin,22,5,16,0,0,1,2,6,10,16,0,1,2,1,5,11
2025_10_25_NWPvKC,KC,22 - Skylar Lalonde,8,6,10,0,0,1,2,5,3,8,1,0,0,0,2,13
2025_10_25_NWPvKC,KC,23 - Danielle Stone,6,1,3,0,1,2,4,0,1,1,0,0,0,0,1,4
