game_id,team_name,player_name,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
2025_10_25_TKUvNAIT,TKU,3 - Jamie Bunting,23,1,4,0,2,5,6,0,4,4,0,0,0,0,5,7
2025_10_25_TKUvNAIT,TKU,13 - Megan Aleman,26,5,13,0,3,1,1,1,5,6,0,0,0,0,5,11
2025_10_25_TKUvNAIT,TKU,15 - Jordana Rivet,30,3,9,1,5,2,2,0,3,3,1,0,0,0,1,9
2025_10_25_TKUvNAIT,TKU,19 - Aneilia Ayotte,23,0,7,0,0,4,9,2,2,4,0,0,0,0,2,4
2025_10_25_TKUvNAIT,TKU,22 - Tori Day,20,4,8,0,0,0,0,3,0,3,0,0,0,0,5,8
2025_10_25_TKUvNAIT,TKU,5 - Hailey Yorke,20,0,4,0,0,1,2,0,0,0,0,0,0,0,2,1
2025_10_25_TKUvNAIT,TKU,6 - Olivia Pedersen,13,1,3,1,3,0,0,0,1,1,0,1,0,1,0,3
2025_10_25_TKUvNAIT,TKU,7 - Izabella MacDonald,3,1,2,0,1,0,0,1,0,1,0,0,0,0,0,2
2025_10_25_TKUvNAIT,TKU,9 - Anaka Dechamplain ,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025_10_25_TKUvNAIT,TKU,11 - Ava Dewarle,5,1,2,1,2,0,0,0,0,0,0,1,0,0,1,3
2025_10_25_TKUvNAIT,TKU,14 - Raya Plouffe,18,1,4,0,1,2,2,0,3,3,0,0,0,0,3,4
2025_10_25_TKUvNAIT,TKU,18 - Ryan Queeley,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,4
2025_10_25_TKUvNAIT,TKU,20 - Kayleena Garda,13,4,8,0,0,1,3,0,1,1,0,0,0,1,0,9
2025_10_25_TKUvNAIT,NAIT,04 - Dior Sellars,36,4,12,2,6,0,0,0,3,3,3,1,0,0,1,10
2025_10_25_TKUvNAIT,NAIT,06 - Payton Neilson,33,3,12,0,3,7,8,0,2,2,1,0,0,0,4,13
2025_10_25_TKUvNAIT,NAIT,09 - Mikah Reed,30,3,12,2,8,2,2,2,3,5,0,0,0,0,2,10
2025_10_25_TKUvNAIT,NAIT,13 - Rory Vandermeer,27,2,3,1,1,4,6,0,1,1,0,0,0,0,4,9
2025_10_25_TKUvNAIT,NAIT,14 - Grace Culshaw,28,5,8,0,0,0,0,2,8,10,1,1,0,1,2,10
2025_10_25_TKUvNAIT,NAIT,00 - Laila Wright,17,4,11,0,0,5,13,1,4,5,0,0,0,0,2,13
2025_10_25_TKUvNAIT,NAIT,01 - Adnee Tirao,2,1,2,0,0,0,0,0,1,1,0,0,0,1,0,2
2025_10_25_TKUvNAIT,NAIT,05 - Sadie Nysetvold,6,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0
2025_10_25_TKUvNAIT,NAIT,08 - Keanna Dewolfe,12,3,5,0,1,3,4,0,0,0,1,0,0,0,2,9
