player_name,team_name,games,Offense,Defense,Total
10 - Carter Waind,BC,4,7.8,6.2,14.0
8 - Jordan Biggar,MHC,4,9.4,4.5,13.9
7 - Taleh Wade,LAKE,4,7.3,6.4,13.7
2 - Malik Edwards,CUE,4,7.3,6.4,13.6
8 - Keellaa Gatwech,CUE,4,5.0,7.9,12.9
20 - Kaden Gravengard,NWP,4,7.5,5.2,12.8
15 - Jordan Horobetz-Simpson,LAKE,4,6.7,6.0,12.7
12 - DJ Haynes,KC,4,6.7,5.9,12.7
5 - Deandre Rowe,KC,4,6.1,6.5,12.6
07 - Mirza Todorovac,NWP,4,4.4,7.6,12.0
21 - Nicholas McKoy,OC,4,7.0,4.8,11.8
1 - Seth Johnson,LAKE,4,5.4,6.0,11.4
14 - Jarom Walton,AMB,3,6.2,5.0,11.2
3 - Matthew Bryant,LAKE,4,5.0,5.9,10.9
9 - Bahaeddin Salma,LAKE,4,5.1,5.2,10.3
23 - Wol Wol,MHC,4,5.2,5.0,10.3
10 - Keenan Miller,KC,4,5.5,4.5,10.0
11 - Kohl Wedman,NAIT,4,6.0,3.5,9.5
2 - David Dimaano,LAKE,4,4.4,5.0,9.4
4 - Evan Li,CUE,4,5.6,3.7,9.3
05 - Brandon Gillis,NWP,4,5.0,4.2,9.2
5 - Kieran Isnor,MHC,4,3.2,5.9,9.1
06 - Chris Kinyange,NWP,4,3.5,5.4,8.9
1 - Gabe Vig,BC,4,5.1,3.8,8.9
6 - Shak Jama,CUE,4,4.5,4.3,8.8
14 - Owen Shepherd-Hills,BC,4,4.0,4.7,8.7
11 - Romarie Johnson,NWP,4,4.6,3.9,8.5
1 - Brock Stupar,TKU,2,5.5,2.9,8.3
16 - Noah Julien,CUE,4,4.4,3.8,8.1
22 - William Tcherkachine,RDP,2,4.5,3.5,8.0
9 - Will Jacques,OC,4,3.5,4.4,7.9
3 - Cole Koop,BC,4,3.4,4.4,7.8
5 - Corbin Gengenbach,BC,3,3.6,4.1,7.7
21 - Wan Deng,KC,4,3.7,4.0,7.7
6 - Joshua Fox,BC,4,4.2,3.5,7.7
13 - Corbin MacMillan,OC,4,3.9,3.5,7.4
9 - Roka Phalen-Baker,CUE,4,3.0,4.3,7.3
09 - Darnell Stewart,NWP,4,4.9,2.4,7.2
07 - Donovan Caldwell,NAIT,4,3.3,3.9,7.2
11 - Efosa Omorogbe,KC,4,3.7,3.3,6.9
7 - Levi Balderson,LPK,2,3.3,3.3,6.6
23 - Dylan Pearson,AMB,3,3.5,3.1,6.6
04 - Lucas Barlow,STMU,2,3.8,2.8,6.6
11 - Lincoln Kosinski,MHC,4,3.2,3.3,6.5
13 - Ty Schenk,AMB,3,3.6,2.9,6.5
13 - Tafari Carefoote-Jones,KC,3,2.7,3.3,6.0
02 - Pelumi Ajayi,STMU,2,2.7,3.3,6.0
15 - Trevon-Davis Arogie,NWP,4,2.3,3.5,5.8
2 - Markus Glasspell,BC,4,2.6,3.1,5.7
11 - Cooper Warren,OC,2,4.0,1.6,5.6
6 - Sammuel Nkassa,KC,4,2.6,3.0,5.5
23 - Jonathan Gomes,UAA,2,2.7,2.6,5.3
06 - Peter Kugba-Nyande,NAIT,2,3.3,2.0,5.3
10 - Ayudo Ayudo,STMU,2,2.6,2.5,5.1
01 - Serhat Chen,NAIT,2,2.4,2.7,5.1
23 - Marvellous Adepoju,RDP,2,3.7,1.4,5.1
14 - Alex DeRanger,OC,4,2.4,2.7,5.1
8 - Marley Kenion,LPK,2,2.5,2.6,5.1
7 - Akot Kuannace,OC,4,1.9,3.0,4.9
13 - Keshon McLeod,NAIT,3,2.2,2.8,4.9
14 - Jackson Wright,LPK,2,2.8,2.2,4.9
4 - Rylan Warren,OC,4,2.5,2.3,4.8
04 - Peter Kugba-Nyande,NAIT,2,2.0,2.7,4.7
6 - Paulo Cuesta,AMB,3,2.0,2.7,4.7
7 - Benjamin Thess,TKU,2,2.1,2.6,4.7
4 - Gavin Ouellette,TKU,2,2.0,2.6,4.6
15 - Jackson Earle,AMB,3,2.0,2.7,4.6
12 - Riley Follensbee,STMU,2,2.7,1.9,4.6
12 - Patrick Fisher,NAIT,2,1.9,2.7,4.6
04 - Serhat Chen,NAIT,2,2.8,1.8,4.5
7 - Tedi Eguagie,CUE,4,2.1,2.3,4.5
7 - Colby Anderson,MHC,4,1.8,2.6,4.4
10 - Nathaniel Hosannah,LPK,2,1.9,2.5,4.4
08 - Aaron Snaterse,NAIT,2,2.0,2.4,4.4
15 - Jason Moreira,OC,2,1.9,2.5,4.4
9 - Jonathan Barwegen,TKU,2,1.4,2.9,4.4
21 - Joshua Dirks,MHC,4,2.5,1.9,4.4
3 - Coleson Lake,LPK,2,2.0,2.3,4.3
22 - Tarman Sandhu,OC,4,2.2,2.1,4.3
24 - Edgerren Capuno,AMB,3,2.2,2.1,4.3
6 - Trey Watson,MHC,4,1.8,2.2,4.0
9 - James Censon,AMB,3,1.7,2.2,3.9
7 - Marc Denault Gabriel,SAIT,1,2.1,1.8,3.9
4 - Miguel Torres,MHC,4,1.6,2.2,3.8
14 - Patrick Fisher,NAIT,2,1.6,2.1,3.7
4 - Cam Carter,SAIT,1,2.0,1.6,3.6
23 - Cornelius Mingo Jr.,TKU,2,2.2,1.4,3.6
11 - Jack Corrigan,AMB,3,1.6,1.9,3.5
24 - Brandon Houndonougbo,BC,2,1.2,2.3,3.5
06 - Noah Simon,RDP,2,1.5,1.9,3.4
06 - CJ Peters,STMU,2,1.4,1.9,3.3
9 - Joyce Dumbu,KC,4,1.6,1.7,3.3
12 - Aaron Snaterse,NAIT,2,0.8,2.4,3.2
14 - David Hamilton,MHC,3,1.4,1.8,3.2
01 - Nathan Saldo,NAIT,2,1.4,1.6,3.0
04 - John Sasi,NWP,4,1.4,1.6,3.0
24 - Donovan Snider,RDP,2,1.1,1.8,2.9
2 - Jeremy Proctor,AMB,3,1.5,1.3,2.8
3 - Sabino Dumo,MHC,3,1.3,1.5,2.8
13 - Ben Gilbert,STMU,2,1.3,1.6,2.8
4 - Chase Seaborn,BC,4,1.6,1.1,2.7
05 - Brett Marlow,UAA,1,1.6,1.0,2.6
4 - Jaggar Crossland,KC,4,1.3,1.3,2.6
9 - Cooper Nelson,UAA,1,1.8,0.8,2.6
03 - Nathan Saldo,NAIT,2,1.6,0.9,2.5
5 - Brett Marlow,UAA,1,0.9,1.6,2.5
3 - Tanton Mueller,UAA,1,1.5,1.0,2.5
07 - Cache Perrett,STMU,2,0.8,1.5,2.4
23 - Randall Mongard,LPK,2,1.0,1.4,2.4
5 - Kevin Mvemba,OC,3,1.1,1.3,2.4
11 - Sharaya Aamir,RDP,2,0.9,1.5,2.4
10 - Erik Martone,UAA,2,0.8,1.5,2.3
04 - Sam Smilski,UAA,1,1.3,1.1,2.3
05 - Garett Cates,RDP,2,1.0,1.2,2.3
03 - Kevin Hunter,NAIT,2,1.0,1.3,2.3
13 - Oyama Crouch,MHC,2,1.2,1.2,2.3
14 - Izaec Oppal,CUE,4,1.6,0.8,2.3
14 - Corban Andres,RDP,2,1.1,1.1,2.3
09 - Cooper Nelson,UAA,1,1.1,1.1,2.2
2 - Treydon Barton,LPK,1,1.4,0.8,2.2
23 - Mohamad Meddeb,OC,1,0.7,1.5,2.2
03 - Tanton Mueller,UAA,1,0.9,1.2,2.1
0 - Marcus Masters,SAIT,1,1.1,1.0,2.1
3 - Josh Povhe,TKU,2,0.8,1.3,2.1
11 - Mateo Gallant,UAA,2,1.0,1.1,2.1
09 - Kamari Breary,STMU,2,1.3,0.8,2.1
8 - Ife Popoola,OC,2,0.8,1.2,2.0
21 - Dru Swain,UAA,2,0.9,1.1,2.0
3 - Ethan Rossworm,OC,4,0.9,1.0,2.0
15 - Oyama Crouch,MHC,1,0.9,1.0,1.9
10 - Guilherme Lacerda Ferreira,AMB,2,0.9,1.0,1.9
10 - Maximus Mathers,TKU,2,1.0,0.9,1.9
13 - Marek Guynup,BC,3,0.7,1.2,1.8
12 - Kyle Bertram,MHC,3,0.8,1.0,1.8
12 - Devon Weleschuk,CUE,4,0.9,0.9,1.8
09 - Blaine Cabay,RDP,2,0.7,1.0,1.7
07 - Lado Lodo,RDP,1,0.9,0.9,1.7
3 - Steve Adjuya,SAIT,1,0.7,1.0,1.7
8 - Logan Bennett,SAIT,1,0.8,0.9,1.7
8 - Japheth David,AMB,3,0.8,0.9,1.7
6 - Ryan Zemp,OC,1,0.6,1.1,1.6
13 - Jackson Hufnagel,TKU,2,0.6,1.0,1.6
15 - Rhett Lewis,LPK,1,0.6,1.0,1.6
05 - Kevin Hunter,NAIT,2,0.8,0.9,1.6
11 - Kade Lund,LPK,2,0.9,0.6,1.5
10 - Isaiah White,OC,1,0.6,1.0,1.5
10 - Felix Webb,RDP,1,0.5,1.0,1.5
03 - Samuel Rosse,NWP,4,0.7,0.7,1.4
10 - Jason Moreira,OC,1,0.7,0.7,1.4
11 - Brenddan Nightingale,STMU,2,0.6,0.8,1.4
12 - Killian Yopa,SAIT,1,0.7,0.8,1.4
14 - Lucas Franks,TKU,2,0.6,0.8,1.4
13 - Abdul Mustafe,RDP,1,0.5,0.9,1.4
15 - Athial Mel,MHC,1,0.7,0.7,1.4
0 - Antonio Benjamin,NAIT,1,1.0,0.3,1.3
14 - Jeremy Payne,KC,3,0.6,0.7,1.3
22 - Archer Jenkins,UAA,2,0.6,0.7,1.3
4 - Sam Smilski,UAA,1,0.5,0.6,1.2
14 - Tyson Christensen,LAKE,2,0.7,0.5,1.2
12 - Isiah Capicio,RDP,1,0.6,0.6,1.2
06 - Luca Reynolds-Raby,UAA,1,0.8,0.4,1.2
4 - Brodie Ronnie,AMB,2,0.5,0.7,1.2
02 - Jayden Rushema,UAA,1,0.5,0.6,1.1
7 - Daniel Haak,BC,3,0.5,0.5,1.0
08 - Tong Akol,RDP,1,0.4,0.6,1.0
05 - Dax Kessler,NAIT,2,0.5,0.5,1.0
12 - Rhett Lewis,LPK,1,0.4,0.6,1.0
20 - Jaxon Fisher,SAIT,1,0.6,0.5,1.0
13 - Caleb Tengera,NWP,3,0.5,0.4,1.0
20 - Kuol Arop,OC,1,0.4,0.4,0.9
33 - Carson Irwin,TKU,2,0.5,0.5,0.9
2 - Jayden Rushema,UAA,1,0.5,0.4,0.9
2 - Saymon Loki,SAIT,1,0.3,0.6,0.9
17 - Rayden Ostashower,CUE,2,0.4,0.4,0.8
8 - Isreal Ogbebor,LAKE,2,0.4,0.2,0.7
8 - Yvane M'vila Kumbukilutete,UAA,1,0.1,0.6,0.7
12 - Tyler Gartner,LAKE,3,0.3,0.4,0.7
8 - Trey McKenzie,KC,2,0.3,0.4,0.7
6 - West James,LPK,1,0.6,0.1,0.7
11 - Cooper Benjamin,BC,2,0.3,0.4,0.7
23 - Tariq Bhanji,SAIT,1,0.2,0.4,0.6
10 - Ben Amevor,NAIT,2,0.3,0.3,0.6
6 - Parker Armstrong,LAKE,2,0.2,0.2,0.5
05 - Angelo Santiago,STMU,1,0.1,0.4,0.5
16 - Rofri Mpaka,KC,1,0.2,0.3,0.5
10 - Thomas Olson,MHC,1,0.2,0.2,0.4
03 - Pyken Easthope,STMU,1,0.2,0.2,0.4
35 - Ethan Fisher,SAIT,1,0.2,0.2,0.4
5 - Robert Kelly,TKU,2,0.2,0.2,0.4
18 - Tyrone Okeke,CUE,2,0.2,0.2,0.4
24 - Yuvraj Saggu,SAIT,1,0.2,0.2,0.4
21 - Josh Neilson,RDP,1,0.1,0.2,0.3
15 - Haynen Bighetty,KC,1,0.1,0.1,0.2
3 - Thiec Ruot,CUE,1,0.1,0.1,0.2
10 - Jahkai Dang,LAKE,1,0.1,0.1,0.2
22 - Memphis Gambler-Yellow Knee,LPK,1,0.1,0.2,0.2
12 - Mike Onion,UAA,1,0.1,0.1,0.1
08 - Yvane M'vila Kumbukilutete,UAA,1,0.1,0.1,0.1
11 - Danathan Morris,LAKE,1,0.1,0.1,0.1
21 - Danathan Morris,LAKE,1,0.1,0.1,0.1
14 - Skyler Broughton,NWP,2,0.1,0.1,0.1
12 - Rhys Merwin,NWP,1,0.0,0.0,0.1
4 - Zachary English,LPK,1,0.1,0.1,0.1
