player_name,team_name,games,Offense,Defense,Total
7 - Jordyn Knight,MHC,4,7.1,4.9,12.0
14 - Grace Culshaw,NAIT,4,6.1,5.8,11.9
7 - Grace Meyer,AMB,3,7.6,4.2,11.8
7 - Ryley Bullock,KC,4,5.3,6.4,11.7
12 - Jasmine Gardiner,MHC,4,6.2,5.3,11.5
06 - Payton Neilson,NAIT,4,5.5,5.6,11.2
6 - Taylor Hebert,LAKE,4,4.1,7.0,11.1
8 - Chloe Sutherland,CUE,3,6.1,4.9,11.1
9 - Dori Sunderland,BC,4,6.7,4.3,11.0
16 - Reese Fenrich,LAKE,4,4.2,6.3,10.5
2 - Kayla Hawryshko,OC,4,6.9,3.5,10.4
6 - Sydney Waind,BC,4,4.9,5.4,10.2
22 - Makayla Fleischfresser,OC,4,5.0,5.1,10.1
04 - Dior Sellars,NAIT,4,4.2,5.8,10.1
05 - Emma Van Dijk,NWP,4,3.5,6.0,9.5
14 - Alexis Kemp,KC,4,3.9,5.6,9.5
8 - Sienna Anderson,BC,4,4.7,4.7,9.4
20 - Jaylynn Twin,KC,4,5.2,4.2,9.4
2 - Haley Cleland,CUE,4,4.0,4.8,8.9
09 - Mikah Reed,NAIT,4,3.9,5.0,8.9
10 - Alexis Watkiss,MHC,4,4.8,4.0,8.9
08 - Peyton Breen,NWP,4,3.7,5.1,8.8
8 - Andrijana Bokan,AMB,3,3.8,4.9,8.7
7 - Haylee-Jo Heggie,OC,4,3.4,5.3,8.7
22 - Skylar Lalonde,KC,4,6.0,2.7,8.7
04 - Kim Talavara,NWP,4,4.3,4.3,8.6
12 - Brooke MacDonald,NWP,4,5.3,3.0,8.3
4 - Chayanna Santillan,OC,4,5.0,2.9,7.9
3 - Sadie Spenrath,LAKE,4,3.9,4.0,7.9
03 - Keira Komarnicki,NWP,4,3.1,4.7,7.8
14 - Achayo Bolok,MHC,4,3.7,4.0,7.7
9 - Megan Jetzke,CUE,4,4.3,3.4,7.7
10 - Hannah Matuszewski,BC,4,3.3,4.5,7.7
06 - Jorgia Hicks,RDP,2,4.8,2.8,7.6
8 - Kate Rever,LAKE,4,3.9,3.4,7.3
24 - Abigail Porter,OC,4,3.4,3.7,7.1
20 - Charlee McIntyre,NWP,4,3.9,3.1,7.0
12 - Grethe Winchell,CUE,4,4.1,3.0,7.0
3 - Audrey Dayrit,AMB,3,3.8,3.1,6.9
12 - Lily Morgan,OC,4,3.1,3.8,6.9
15 - Veda Gottselig,MHC,4,2.8,4.1,6.9
10 - Rylie Stewart,CUE,4,4.0,2.7,6.7
24 - Sarah Neustaeter,BC,4,3.5,3.1,6.6
3 - Arian Batallones,KC,3,2.9,3.8,6.6
12 - Talia Thunderchild,LAKE,4,2.3,4.0,6.4
3 - Eve Duerksen,BC,4,2.7,3.7,6.4
7 - Abbi Smith,LAKE,4,2.7,3.7,6.4
1 - Bree Hagen,OC,4,3.0,3.3,6.3
11 - Nyomi Heins,LPK,2,4.2,1.9,6.2
1 - Jaycee May,CUE,4,3.0,3.1,6.1
6 - Danika Cadieux,KC,4,3.1,3.1,6.1
15 - Jordana Rivet,TKU,2,3.5,2.5,6.0
11 - Brynn Bremner,MHC,4,2.6,3.3,5.9
10 - Jessica Hardy,NAIT,3,3.8,1.9,5.7
08 - Mia Cunningham,RDP,2,2.2,3.4,5.6
13 - Sydney Fraess,KC,4,2.6,2.9,5.5
8 - Tana Iwanusiw,SAIT,1,4.0,1.5,5.5
1 - Kylee Michaluk,MHC,4,2.6,2.7,5.4
13 - Ella O'Hara,UAA,2,2.1,3.1,5.3
11 - Selena Maguire,RDP,2,1.7,3.5,5.2
13 - Willow Tanton,RDP,2,4.0,1.2,5.2
