player_id,jersey,player name,team name
1001,2,Jeremy Proctor,AMB
1002,3,Emmanuel Fagite,AMB
1003,4,Brodie Ronnie,AMB
1004,5,Liam Nystrom,AMB
1005,6,Paulo Cuesta,AMB
1006,7,Payton Green,AMB
1007,8,Japheth David,AMB
1008,9,James Censon,AMB
1009,10,Guilherme Lacerda Ferreira,AMB
1010,11,Jack Corrigan,AMB
1011,12,Jordan Reed,AMB
1012,13,Ty Schenk,AMB
1013,14,Jarom Walton,AMB
1014,15,Jackson Earle,AMB
1015,21,Isaac McLean,AMB
1016,22,Grayson Dunn,AMB
1017,23,Dylan Pearson,AMB
1018,24,Edgerren Capuno,AMB
1019,1,Karan Singh,CUE
1020,2,Malik Edwards,CUE
1021,3,Thiec Ruot,CUE
1022,4,Evan Li,CUE
1023,5,Xavier Hinkson,CUE
1024,6,Shak Jama,CUE
1025,7,Tedi Eguagie,CUE
1026,8,Keellaa Gatwech,CUE
1027,9,Roka Baker,CUE
1028,10,DJ Williams,CUE
1029,11,Jakin Niyongabo,CUE
1030,12,Devon Weleschuk,CUE
1031,13,Tyrese Kaliati,CUE
1032,14,Izaec Oppal,CUE
1033,15,Koen DeKlerk,CUE
1034,16,Noah Julien,CUE
1035,17,Rayden Ostashower,CUE
1036,18,Tyrone Okeke,CUE
1037,1,Seth Johnson,LAKE
1038,2,David Dimaano,LAKE
1039,3,Matthew Bryant,LAKE
1040,6,Parker Armstrong,LAKE
1041,7,Taleh Wade,LAKE
1042,8,Isreal Ogbebor,LAKE
1043,9,Bahaeddin Salma,LAKE
1044,12,Tyler Gartner,LAKE
1045,14,Tyson Christensen,LAKE
1046,15,Jordan Horobetz-Simpson,LAKE
1047,1,Nathan Saldo,NAIT
1048,2,Antonio Benjamin,NAIT
1049,3,Kevin Hunter,NAIT
1050,4,Serhat Chen,NAIT
1051,5,Dax Kessler,NAIT
1052,6,Peter Kugba-Nyande,NAIT
1053,7,Donovan Caldwell,NAIT
1054,8,Aaron Snaterse,NAIT
1055,10,Ben Amevor,NAIT
1056,11,Kohl Wedman,NAIT
1057,12,Patrick Fisher,NAIT
1058,13,Keshon McLeod,NAIT
1059,3,Samuel Rosse,NWP
1060,4,John Sasi,NWP
1061,5,Brandon Gillis,NWP
1062,6,Chris Kinyange,NWP
1063,7,Mirza Todorovac,NWP
1064,8,Liam McCaffrey,NWP
1065,9,Darnell Stewart,NWP
1066,10,Martynas Petrauskas,NWP
1067,11,Romarie Johnson,NWP
1068,13,Caleb Tengera,NWP
1069,14,Skyler Broughton,NWP
1070,15,Trevon-Davis Arogie,NWP
1071,20,Kaden Gravengard,NWP
1072,1,Wai Lam,OC
1073,3,Ethan Rossworm,OC
1074,4,Rylan Warren,OC
1075,5,Kevin Mvemba,OC
1076,6,Ryan Zemp,OC
1077,7,Akot Kuannace,OC
1078,8,Ife Popoola,OC
1079,9,Will Jacques,OC
