player_id,jersey,player name,team name
2001,1,Sara Shouhoud,AMB
2002,3,Audrey Dayrit,AMB
2003,4,Prissy Chuoi,AMB
2004,5,Hannah Brundage,AMB
2005,6,Kasey Breitkreuz,AMB
2006,7,Grace Meyer,AMB
2007,8,Andrijana Bokan,AMB
2008,9,Chloe Mak,AMB
2009,11,Juliana Hajduk,AMB
2010,12,Brooklyn Morse,AMB
2011,13,Emma Faith,AMB
2012,14,Selma Kampala,AMB
2013,15,Cassidy Black,AMB
2014,21,Ariana Dela Paz,AMB
2015,22,Suzanne Olmstead,AMB
2016,23,Jiya Samrai,AMB
2017,1,Jaycee May,CUE
2018,2,Haley Cleland,CUE
2019,3,Laurel Van der Giessen,CUE
2020,4,Tayla Hannah,CUE
2021,5,Julianne Baker,CUE
2022,6,Jenna Rinsky,CUE
2023,7,Georgia Bowman,CUE
2024,8,Chloe Sutherland,CUE
2025,9,Megan Jetzke,CUE
2026,10,Rylie Stewart,CUE
2027,11,Anna DeKlerk,CUE
2028,12,Grethe Winchell,CUE
2029,13,Maeve Holden,CUE
2030,14,Avery Wood,CUE
2031,15,Hailey Hofstra,CUE
2032,16,Isabelle Rowe,CUE
2033,17,Elisa Hummel,CUE
2034,2,Jaleya Williams,LAKE
2035,3,Sadie Spenrath,LAKE
2036,5,Cezanne Lapierre,LAKE
2037,6,Taylor Hebert,LAKE
2038,7,Abbi Smith,LAKE
2039,8,Kate Rever,LAKE
2040,9,Sarah Wolfe,LAKE
2041,10,Abuk Jieldt,LAKE
2042,12,Talia Thunderchild,LAKE
2043,14,Alex McLaren,LAKE
2044,16,Reese Fenrich,LAKE
2045,1,Kylee Michaluk,MHC
2046,2,Dani Meyer,MHC
2047,3,Alei Kuthping,MHC
2048,4,Abrielle Watson,MHC
2049,5,Aislyn Farn,MHC
2050,6,Sophia Ingenhaag,MHC
2051,7,Jordyn Knight,MHC
2052,8,Bella Leismeister,MHC
2053,9,Achayo Bolok,MHC
2054,10,Alexis Watkiss,MHC
2055,11,Brynn Bremner,MHC
2056,12,Jasmine Gardiner,MHC
2057,13,Elaina Korver,MHC
2058,15,Veda Gottselig,MHC
2059,21,Addison Graf,MHC
2060,0,Laila Wright,NAIT
2061,1,Adnee Tirao,NAIT
2062,2,Emily Cartmell,NAIT
